response_id,prolific_pid,condition,endorser_gender,outcome,strength_condition,endorser_slider_q1,endorser_slider_q2,abs_strength,trust_d1,trust_d2,trust_change,is_correct,bonus,rt_d1,rt_outcome,rt_d2,duration_s,cq_score,age,gender,race,manip_check_q44,manip_correct
R_5pFR14DrtoV5jcR,66826e9e2c8e4bfd530e5584,M_correct_weak,Male,Success,weak,51.0,5.0,2.0,100.0,0.0,-100.0,1,1.00,15505,2616,7100,204,3,24,2,5,1,1
R_5QGwJdI1czvIPXQ,671bfaa7d312fef1ab1d7fa0,M_incorrect_strong,Male,Failure,strong,0.0,20.0,100.0,50.0,50.0,0.0,0,0.25,36125,11408,15339,421,4,50,1,3,1,1
R_19jY83UkZQloWhX,6681a6064361475b2acf7793,W_correct_weak,Female,Success,weak,48.0,1.0,4.0,61.0,70.0,9.0,1,0.80,31184,4909,10279,402,3,37,2,3,2,1
R_6CbZjoF1hmbKkBb,67aba4317b2e7d4dc3b57350,W_incorrect_weak,Female,Failure,weak,49.0,5.0,2.0,10.0,10.0,0.0,0,0.45,25565,5496,13332,321,4,26,2,4,1,0
R_6wNnjv6IwW2V1mx,67a4fbd7e4ebc02e050b7999,W_correct_strong,Female,Success,strong,0.0,75.0,100.0,100.0,100.0,0.0,1,1.00,7275,5258,7967,183,4,46,1,5,2,1
R_67wXvFK9ZbHmRcn,66b3dc1490445aa410abd41e,M_correct_weak,Male,Success,weak,51.0,1.0,2.0,10.0,20.0,10.0,1,0.55,16536,7955,8007,303,4,31,2,5,,0
R_6jd0IKpiOXjTusO,630a8feaa8eef385f72dc1a5,M_correct_strong,Male,Success,strong,0.0,5.0,100.0,86.0,54.0,-32.0,1,0.93,89421,7101,20901,359,3,38,2,2,1,1
R_62rYYGZkq3JxHUo,6320e0bc9b0649f05c5bb242,W_incorrect_strong,Female,Failure,strong,100.0,83.0,100.0,30.0,50.0,20.0,0,0.35,50428,13895,16231,420,4,58,2,5,2,1
R_1PZugpFrCDWKuhR,677bebd88a0234c915ec07e7,W_incorrect_strong,Female,Failure,strong,0.0,65.0,100.0,50.0,100.0,50.0,0,0.25,24916,5794,3204,222,4,51,2,5,2,1
R_5OvsDzKcntvhstk,672b7c9fde910f42c8aa35eb,W_correct_weak,Female,Success,weak,51.0,98.0,2.0,0.0,0.0,0.0,1,0.50,27674,6824,9097,227,4,50,1,5,2,1
R_3ovNmFmzmB0UleV,65cb708afe5755feaeec417f,W_incorrect_strong,Female,Failure,strong,0.0,13.0,100.0,100.0,100.0,0.0,0,0.00,7591,1939,5573,206,4,22,1,2,2,1
R_7v6RzqYJhkPgAqd,63deeebc2822414d8f9e5958,M_incorrect_strong,Male,Failure,strong,0.0,81.0,100.0,100.0,100.0,0.0,0,0.00,18815,5420,3149,197,4,54,2,5,1,1
R_5snOkx4JMIl5Rtp,5d4af0a71813250015d3c5c7,M_correct_strong,Male,Success,strong,0.0,5.0,100.0,79.0,61.0,-18.0,1,0.90,34073,8850,26008,357,3,47,1,5,,0
R_7phShh444q7thE0,578bcb2c09fb91000133750e,W_incorrect_weak,Female,Failure,weak,49.0,1.0,2.0,0.0,0.0,0.0,0,0.50,17439,4871,10174,196,4,42,1,5,,0
R_6EvbPoISumhvk6Z,62903d86dad1252ede51100f,M_incorrect_strong,Male,Failure,strong,0.0,85.0,100.0,100.0,83.0,-17.0,0,0.00,49194,3380,7558,318,3,43,1,3,2,0
R_6EtMCYUXvywYBJu,673ead8d8389b11c02a060e9,M_correct_strong,Male,Success,strong,0.0,75.0,100.0,100.0,100.0,0.0,1,1.00,19354,10848,4375,395,3,26,2,2,1,1
R_5LzCEHCKguBVP7e,55dbdc9d50a1f7001190d753,M_incorrect_weak,Male,Failure,weak,49.0,65.0,2.0,25.0,0.0,-25.0,0,0.38,14377,5461,5824,719,4,35,2,4,1,1
R_5oAEn0RSuhI19r2,5d3221b8eb6cfa0001950113,M_incorrect_strong,Male,Failure,strong,0.0,7.0,100.0,100.0,100.0,0.0,0,0.00,16678,1910,3431,470,3,46,1,5,1,1
R_59mfZuaDSave5Yl,5db6553837647d000bb049ab,W_incorrect_strong,Female,Failure,strong,0.0,13.0,100.0,10.0,0.0,-10.0,0,0.45,55012,19161,18926,338,3,75,1,5,2,1
R_3kFVw2gTcMKIWFY,694155c781b1b22947a860c5,M_correct_weak,Male,Success,weak,51.0,5.0,2.0,0.0,100.0,100.0,1,0.50,15502,8110,14719,426,4,20,2,2,1,1
R_56qDPexTFjPJahz,61bb396b40db417c1a138e43,W_correct_strong,Female,Success,strong,0.0,90.0,100.0,49.0,76.0,27.0,1,0.74,174103,8702,54794,883,4,53,1,5,2,1
R_6F3vXW8sn3lNp8P,616c9115b3a3d2f885822a57,M_correct_strong,Male,Success,strong,0.0,75.0,100.0,100.0,50.0,-50.0,1,1.00,18218,4852,6063,496,4,39,2,5,1,1
R_5Q0uzOeYJdUQyHv,5c237be889f035000173c96c,W_incorrect_weak,Female,Failure,weak,49.0,1.0,2.0,10.0,0.0,-10.0,0,0.45,30664,5344,17320,546,3,73,2,5,2,1
R_6iTDxf0Ix5gv7bz,5ec189f03d870d5ba617fcc4,M_correct_strong,Male,Success,strong,0.0,1.0,100.0,100.0,49.0,-51.0,1,1.00,15241,3408,11806,632,3,42,1,5,2,0
R_6EhPffDWNQF9GaU,66298703663ddf03c3f1d5b4,M_correct_strong,Male,Success,strong,0.0,15.0,100.0,94.0,91.0,-3.0,1,0.97,13107,9080,14161,290,4,60,1,5,1,1
R_3HqSZD3HOY9VtXc,67902635a20315fcc7ff5c43,M_correct_weak,Male,Success,weak,51.0,2.0,2.0,10.0,10.0,0.0,1,0.55,41152,7353,19995,370,4,44,1,5,,0
R_72RQRjHWelTfr5R,67f8607be129189cd9ea4c0a,W_correct_strong,Female,Success,strong,0.0,75.0,100.0,50.0,50.0,0.0,1,0.75,96020,22242,68579,754,4,29,2,3,2,1
R_1NqPJM7uW8gN1WQ,61523a9abe7a56d2e2ef6b5f,M_incorrect_weak,Male,Failure,weak,49.0,5.0,2.0,75.0,100.0,25.0,0,0.13,41671,8720,12476,309,4,68,2,5,1,1
R_6PT1gUFcyQrWFZQ,677fb35eafd357a07e351a9f,W_correct_weak,Female,Success,weak,51.0,1.0,2.0,0.0,0.0,0.0,1,0.50,37210,10738,13616,429,4,46,2,5,2,1
R_6oAE4pArco3Mo9z,6942f17a27841b72aa21b1d8,M_incorrect_weak,Male,Failure,weak,48.0,5.0,4.0,25.0,50.0,25.0,0,0.38,58576,11434,24183,419,3,50,1,5,1,1
R_3dqn4vnmT7KG0Wl,5e3b759740e302397f294a2d,M_correct_weak,Male,Success,weak,51.0,0.0,2.0,15.0,15.0,0.0,1,0.57,29243,4824,14318,463,4,27,1,2,2,0
R_6RR0d6szP7RQKP9,64727ea9591087aef21f3dcf,M_correct_strong,Male,Success,strong,0.0,15.0,100.0,39.0,39.0,0.0,1,0.70,27922,11078,24027,608,3,58,2,5,1,1
R_60cg8TxrU9VKM5r,5a7d12a1f49c9a0001f33d53,M_incorrect_weak,Male,Failure,weak,48.0,5.0,4.0,0.0,0.0,0.0,0,0.50,10030,6745,4873,340,4,58,2,5,1,1
R_12MTeAMhVol1ERj,62a3be0d93b8dd1e69b4317d,M_incorrect_strong,Male,Failure,strong,100.0,82.0,100.0,100.0,0.0,-100.0,0,0.00,16516,5443,6382,197,3,69,1,5,1,1
R_7g1vcusB0565KWu,667202328ae5a13b88528a04,M_correct_strong,Male,Success,strong,0.0,15.0,100.0,22.0,40.0,18.0,1,0.61,14632,6854,6907,437,4,23,2,2,,0
R_7oTshxJWeWzGevf,664b6b694005aa7b48e85c48,W_correct_weak,Female,Success,weak,48.0,1.0,4.0,0.0,0.0,0.0,1,0.50,92978,17642,49779,629,4,41,2,3,1,0
R_3JxQveSf9hD2bx9,62db005bae68d37fe24b50da,W_incorrect_weak,Female,Failure,weak,48.0,6.0,4.0,0.0,0.0,0.0,0,0.50,8303,6809,5809,312,4,36,3,5,,0
R_3OW6HyeLUKEU4Bb,5f2c4bf4e4f3080e6a469fcc,M_correct_strong,Male,Success,strong,0.0,99.0,100.0,100.0,100.0,0.0,1,1.00,26189,7320,9023,336,4,41,1,5,,0
R_1e2xwSffvLi2ezG,6945b2bc841178ca14128632,W_incorrect_strong,Female,Failure,strong,100.0,83.0,100.0,75.0,0.0,-75.0,0,0.13,25315,7748,9853,444,4,57,1,5,2,1
R_7tlNG1NzmdgPofU,664b700b38e720bf4c02dfd7,M_correct_strong,Male,Success,strong,0.0,0.0,100.0,75.0,79.0,4.0,1,0.88,32977,6170,13767,312,3,39,1,5,,0
R_78GUK4FlP8Dr8q8,66ede5bbe36caed7269bd7e2,M_correct_weak,Male,Success,weak,51.0,0.0,2.0,60.0,60.0,0.0,1,0.80,28246,3484,8036,311,4,30,3,2,1,1
R_3IpsupsIx9MiWpb,62686fdb4b7b799abadf0303,W_incorrect_strong,Female,Failure,strong,0.0,65.0,100.0,100.0,100.0,0.0,0,0.00,31386,10890,16476,372,4,57,1,5,2,1
R_5RaB9feHk0JMnla,67a507f52decb8dbaacc29e3,M_incorrect_weak,Male,Failure,weak,49.0,2.0,2.0,5.0,0.0,-5.0,0,0.47,137937,29412,29726,1226,4,36,2,3,1,1
R_5KwfuIFVQIhPeGu,67f29249f806e5d43bd01798,W_correct_weak,Female,Success,weak,48.0,1.0,4.0,0.0,50.0,50.0,1,0.50,44511,13423,15399,496,4,42,2,5,,0
R_15RfrxYWBLKcMkp,65ba5a6acde77f1167c84b8c,W_incorrect_weak,Female,Failure,weak,49.0,28.0,2.0,50.0,50.0,0.0,0,0.25,20664,5849,5461,414,3,40,1,5,2,1
R_7g2VLP2PMVjLtkJ,5f88fc9a4157a110c725e6f5,M_incorrect_strong,Male,Failure,strong,0.0,81.0,100.0,100.0,100.0,0.0,0,0.00,19535,6422,3190,362,3,28,2,2,1,1
R_1QtEHkVIbQ3q0gh,65cf6bcf11dca2196c5f9156,M_correct_weak,Male,Success,weak,51.0,0.0,2.0,0.0,50.0,50.0,1,0.50,39524,7553,18964,286,4,64,1,5,,0
R_12VH4UPWaQi5r7C,66a02d45a7db35d93c9f6a81,W_incorrect_strong,Female,Failure,strong,0.0,91.0,100.0,100.0,100.0,0.0,0,0.00,14857,7835,7325,831,3,26,2,5,1,0
R_6NyvJR6tLLnPOCw,67c4c8f9fa9ba2b8a265b2f4,M_correct_weak,Male,Success,weak,49.0,75.0,2.0,0.0,0.0,0.0,1,0.50,17659,5372,10559,139,4,51,2,5,1,1
R_1JVZSMTvjfOawqD,6111c4865701e1ba367af3e3,M_incorrect_weak,Male,Failure,weak,49.0,21.0,2.0,0.0,0.0,0.0,0,0.50,8492,5027,7122,229,3,28,1,5,1,1
R_1Ngm23sGp2oSBIv,55eb4774748092000baa97ee,M_incorrect_weak,Male,Failure,weak,49.0,5.0,2.0,0.0,0.0,0.0,0,0.50,17018,4941,9370,556,4,36,1,5,1,1
R_1wWEgDbcyZMEKhr,6430c599f0887cb443f8da9a,M_correct_strong,Male,Success,strong,100.0,1.0,100.0,100.0,30.0,-70.0,1,1.00,7748,5291,33561,244,4,56,2,5,,0
R_1gbm5gIuLysK7zH,5dddb4071e70dad3885f1601,W_correct_weak,Female,Success,weak,48.0,1.0,4.0,10.0,10.0,0.0,1,0.55,24500,4795,14795,208,4,41,1,5,2,1
R_60L2FeucZNgt4OJ,667aef5020c649859142a95e,M_incorrect_strong,Male,Failure,strong,0.0,81.0,100.0,100.0,100.0,0.0,0,0.00,67790,11083,27382,533,3,71,2,5,1,1
R_6Tkdz1x2MCkcnS1,66293da691cec8862619b1dc,W_correct_strong,Female,Success,strong,0.0,8.0,100.0,50.0,50.0,0.0,1,0.75,20225,5751,10687,280,3,47,1,5,,0
R_1iDclZy9U1sGOoF,64456ad3d3e7651a1dad232c,W_correct_strong,Female,Success,strong,0.0,90.0,100.0,100.0,100.0,0.0,1,1.00,51129,16479,27847,598,3,72,1,5,2,1
R_15ACVp2RLu8867l,63f8083b81d600b33e288f21,W_incorrect_weak,Female,Failure,weak,49.0,2.0,2.0,4.0,0.0,-4.0,0,0.48,87399,20503,6874,415,4,34,1,3,1,0
R_3CEhNmD39oDoKI0,672168a2cacd120fe4c09ab7,W_correct_strong,Female,Success,strong,0.0,4.0,100.0,25.0,75.0,50.0,1,0.63,15612,5320,10020,393,3,53,2,5,1,0
R_6HpmS2n6doGNB8C,6400f8f41e203f131c68b79f,M_correct_weak,Male,Success,weak,51.0,4.0,2.0,20.0,20.0,0.0,1,0.60,40882,6455,15917,366,4,40,2,2,,0
R_7nVHYHxRpvCmt4L,655e151840bad377f83a4ec2,W_incorrect_weak,Female,Failure,weak,48.0,6.0,4.0,100.0,100.0,0.0,0,0.00,34070,14840,11558,613,3,66,1,3,2,1
R_69c6REvhQkugPhH,67bca2520a799ae9507bc053,M_correct_strong,Male,Success,strong,0.0,1.0,100.0,75.0,60.0,-15.0,1,0.88,41233,14365,31568,425,3,62,2,5,1,1
R_7FNGd3C9TkWywA9,663e3e5adf9e4219c11cfcce,W_incorrect_weak,Female,Failure,weak,49.0,1.0,2.0,9.0,20.0,11.0,0,0.46,21261,2804,17198,256,4,36,1,5,2,1
R_3gHfcYQODMwKqMS,65453d14e3d9721a56769d35,W_correct_strong,Female,Success,strong,0.0,7.0,100.0,100.0,100.0,0.0,1,1.00,57301,15451,18909,458,4,59,1,5,2,1
R_578YKEP7OmxlvPN,6942e378d0c8a15ff6b1f81e,M_correct_strong,Male,Success,strong,0.0,0.0,100.0,24.0,25.0,1.0,1,0.62,14680,4801,8404,302,4,55,1,2,,0
R_6KMUazfQ1AZTvEn,58752fed445a5f00019b4a3f,M_incorrect_strong,Male,Failure,strong,100.0,1.0,100.0,0.0,0.0,0.0,0,0.50,3199,2538,3219,316,3,27,2,5,1,1
R_5rOEbFdzjZSop9U,63ea5fe3c03c77c607e33990,M_incorrect_strong,Male,Failure,strong,0.0,81.0,100.0,75.0,75.0,0.0,0,0.13,24776,8572,11509,271,4,61,2,5,1,1
R_1rqSdcV7aZG6YsM,627ebc31883c7dd7c2220c7e,M_incorrect_strong,Male,Failure,strong,100.0,1.0,100.0,50.0,25.0,-25.0,0,0.25,18893,2720,11230,223,3,22,1,5,1,1
R_1q9G0BpP3GPMNoN,6509ef2182c4abf47b1cb961,W_incorrect_weak,Female,Failure,weak,49.0,5.0,2.0,6.0,17.0,11.0,0,0.47,15956,9481,3043,610,4,25,1,2,,0
R_7pXnxMKs2RB4Ifj,693f0f6b4c24d768f41c9941,M_incorrect_weak,Male,Failure,weak,49.0,2.0,2.0,100.0,0.0,-100.0,0,0.00,49798,6487,6236,369,3,32,2,3,1,1
R_5dK1mrIrsHT7pZf,6413dd7eadc09e71fa198000,M_incorrect_weak,Male,Failure,weak,48.0,5.0,4.0,0.0,0.0,0.0,0,0.50,29261,8164,5219,281,3,41,2,5,1,1
